Time,Thermistor,Potentiometer
91167,430,431
91368,430,406
91570,430,384
91770,430,367
91971,430,347
92172,430,315
92372,431,296
92573,430,273
92774,431,252
92975,430,220
93175,429,182
93377,430,130
93578,430,64
93778,430,3
93979,430,0
94180,430,0
94381,430,0
94581,430,0
94782,430,0
94983,430,0
95183,429,0
95384,429,0
95585,429,0
95785,429,0
95986,429,0
96187,428,0
96388,428,0
96588,428,0
96789,428,0
96990,428,0
97190,428,0
97391,427,0
97592,428,0
97793,427,0
97993,428,0
98194,427,0
98395,427,0
98595,427,0
98796,427,0
98997,427,0
99198,427,0
99399,426,0
99600,426,0
99801,426,0
100001,426,0
100202,426,0
100403,426,0
100603,426,0
100804,426,0
101005,426,0
101206,426,0
101406,426,0
101607,425,0
101808,425,0
102008,425,0
102209,426,0
102410,425,0
102611,425,0
102812,425,0
103013,425,0
103214,425,0
103414,425,0
103615,425,0
103816,425,0
104016,425,0
104217,425,0
104418,424,0
104619,424,0
104819,424,0
105020,424,0
105221,424,0
105421,424,0
105623,424,0
105824,424,0
106024,423,0
106225,424,0
106426,424,0
106627,423,0
106827,424,0
107028,423,0
107229,423,0
107429,423,0
107630,423,0
107831,423,0
108032,423,0
108232,423,0
108434,423,0
108635,423,0
108835,422,0
109036,422,0
109237,423,0
109437,422,0
109638,422,0
109839,422,0
110040,422,0
110240,421,0
110441,422,0
110642,422,0
110842,422,0
111043,422,0
111245,421,0
111446,422,0
111646,422,0
111847,421,0
112048,422,0
112248,422,0
112449,422,0
112650,421,0
112850,421,0
113051,422,0
113252,421,0
113453,421,0
113653,421,0
113854,421,0
114055,421,0
114256,421,0
114457,421,0
114658,421,0
114859,421,0
115059,421,0
115260,421,0

